time,PM,sdPM,PT,sdPT,S,sdS,X,sdX,V,Feed,D,Sin
8,0.04206837,0.1,0,0.1,13.86813393,0.25,0.746500257,0.1,12.00,2,0.166663347,20
9,0.0400738,0.1,0.003029902,0.1,12.7169474,0.25,0.856565477,0.1,14.00,2,0.142854704,20
10,0.009514216,0.1,0.085308677,0.1,11.90471296,0.25,0.900998618,0.1,16.00,1,0.062502024,20
11,0.049668439,0.1,0.040425347,0.1,9.7510385,0.25,1.378483022,0.1,17.00,1,0.058825539,20
12,0.10822406,0.1,0,0.1,7.476936908,0.25,1.690652044,0.1,18.00,1,0.055557348,20
13,0.097044779,0.1,0,0.1,3.431238003,0.25,2.094527752,0.1,19.00,1,0.052633188,20
14,0,0.1,0.162918938,0.1,0.164988048,0.25,2.729277048,0.1,20.00,1,0.050001452,20
15,0.415397573,0.1,0.935852417,0.1,0,0.25,2.59322827,0.1,21.00,1,0.047620365,20
,,,,,,,,,,,,
0,0,0.1,0,0.1,5,0.25,1,0.1,1,1,1,20
1,0,0.1,0,0.1,11.95595873,0.25,0.61948909,0.1,2,1,0.5,20
2,0.016136353,0.1,0,0.1,13.28743913,0.25,0.473517439,0.1,3,1,0.333333333,20
3,0,0.1,0,0.1,13.58933258,0.25,0.652697348,0.1,4,1,0.25,20
4,0,0.1,0.038302391,0.1,14.13340396,0.25,0.585974434,0.1,5,1,0.2,20
5,0,0.1,0.041203538,0.1,13.44138016,0.25,0.688644398,0.1,6,1,0.166666667,20
6,0.006144548,0.1,0.040549255,0.1,12.88404201,0.25,0.696025973,0.1,7,1,0.142857143,20
7,0,0.1,0,0.1,12.65517336,0.25,0.743809748,0.1,8,1,0.125,20
8,0,0.1,0,0.1,11.20022342,0.25,1.078767444,0.1,9,1,0.111111111,20
9,0,0.1,0,0.1,10.00630385,0.25,1.268127544,0.1,10,1,0.1,20
10,0,0.1,0.085354083,0.1,8.317352138,0.25,1.672544275,0.1,11.00,0,0,20
11,0.065269859,0.1,0,0.1,4.122767388,0.25,2.172981473,0.1,11.00,0,0,20
12,0,0.1,0.129868844,0.1,0.259689593,0.25,2.745430799,0.1,11.00,0,0,20
13,0.0855749,0.1,0.214176586,0.1,0,0.25,2.568948901,0.1,11.00,0,0,20
14,0.12909568,0.1,0.121861669,0.1,0.16538406,0.25,2.550203927,0.1,11.00,0,0,20
15,0.01582455,0.1,0.234861496,0.1,0.534625564,0.25,2.5169279,0.1,11.00,0,0,20
,,,,,,,,,,,,
